Champion,Faction Name,Leader Name,Size of Forces,Overall Danger Level,Alliances,Enemies,Description
Cherished,Cherished Sub 1,Sub Leader A1,Medium,Medium,None,None,Description for Cherished Sub 1
The Reverent Heart,The Reverent Heart Sub 1,Sub Leader B1,Medium,Medium,None,None,Description for The Reverent Heart Sub 1
Voice of the Archon,Archon Vanguard,Sub Leader C1,Small,High,None,None,The forward scouting party of the Order.
Scorned Blades,Scorned Blades Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
Morning’s Song,Morning’s Song Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
The Pure,The Pure Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
Benevolence,Benevolence Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
Virtuous Storm,Virtuous Storm Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
Blessed Limb of Justice,Blessed Limb Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
Iridescent Bastion,Iridescent Bastion Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
The Unfurled,The Unfurled Sub 1,Unknown,Unknown,Unknown,None,None,Pending definition.
Placeholder 12,Sub Placeholder,Unknown,Unknown,Unknown,None,None,Awaiting data.
