Champion,Faction Name,Name,Description,Strengths,Weaknesses,Enemies,Allies,Challenge Rating
Cherished,Cult of the Cherished,Cultist Prime,High ranking official,Magic,Physical,None,None,5
Cherished,Cult of the Cherished,,,,,,,
Cherished,Cult of the Cherished,,,,,,,
The Reverent Heart,Church of the Reverent Heart,Y'volr's Brother,not a fish,sass,homework,Yvuvu,Y'volr,7
The Reverent Heart,Church of the Reverent Heart,Gregory,could be a fish,,,,,
The Reverent Heart,Church of the Reverent Heart,George,might be a fish,,,,,
Voice of the Archon,Order of the Archon,Vanguard Captain,Leads the charge,Melee,Magic,None,None,8
Scorned Blades,Legion of Scorned Blades,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
Morning’s Song,Choir of Morning’s Song,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
The Pure,Brotherhood of The Pure,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
Benevolence,Sisters of Benevolence,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
Virtuous Storm,Tempest of Virtue,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
Blessed Limb of Justice,Hand of Justice,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
Iridescent Bastion,Defenders of the Bastion,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
The Unfurled,The Unfurled Banner,Individual 1,Pending description,Unknown,Unknown,Unknown,Unknown,0
Placeholder 12,Placeholder Faction,Placeholder Person,Awaiting details,Unknown,Unknown,Unknown,Unknown,0
