Champion,Faction Name,Leader Name,Leader Danger,Combat Style,Unique Abilities,Strengths,Weaknesses,Likes,Dislikes,HQ Location,HQ Description,HQ Features,HQ Accessibility,HQ Danger Level,Size of Forces,Overall Danger Level,Interests,Enemies,Alliances,Faction Description
Cherished,Cult of the Cherished,Leader A,High,Magic,Aura,Defense,Speed,Order,Chaos,Temple,Grand,Wards,Low,High,Large,High,Peace,None,None,A vast cult dedicated to the Cherished.
The Reverent Heart,Church of the Reverent Heart,Lachrimé,Extreme,Empathy,,,,Kindness,Malevolence,Mountains,Gentle,Information and Resources,High,Extreme,Medium,,Peace,,,"By far the largest and most organized group that follows the Reverent Heart. Beyond their constant drive to better themselves and bring forth their leader, they generally try to avoid causing any strife. While their methods are unusual, their power is clear. Due to their diligence, and the presence of Lachrimé, most other groups tend to avoid them, or work diplomatically alongside their efforts."
Voice of the Archon,Order of the Archon,Leader C,Extreme,Melee,Command,Discipline,Flexibility,Law,Anarchy,Citadel,Fortified,Siege Weapons,Low,Extreme,Medium,High,Conquest,None,None,The strict militant arm of the Archon.
Scorned Blades,Legion of Scorned Blades,Leader D,High,Melee,Frenzy,Offense,Defense,War,Peace,Camp,Rugged,Training Grounds,High,High,Large,High,Combat,None,None,A legion built on vengeance and martial prowess.
Morning’s Song,Choir of Morning’s Song,Leader E,Medium,Ranged,Sonic,Range,Melee,Music,Silence,Spire,Tall,Acoustics,Medium,Medium,Medium,Medium,Art,None,None,Archers and bards orchestrating destruction.
The Pure,Brotherhood of The Pure,Leader F,Extreme,Magic,Purification,Magic,Physical,Purity,Corruption,Monastery,Isolated,Libraries,Low,Extreme,Small,Extreme,Knowledge,None,None,Zealots focused on eradicating corruption.
Benevolence,Sisters of Benevolence,Leader G,Medium,Support,Shielding,Defense,Mobility,Charity,Greed,Convent,Humble,Gardens,High,Low,Large,Medium,Care,None,None,A defensive faction focused on structural fortification.
Virtuous Storm,Tempest of Virtue,Leader H,High,Magic,Lightning,Speed,Endurance,Storms,Calm,Peak,Windswept,Altars,Low,High,Medium,High,Weather,None,None,Elemental wielders ruling the high peaks.
Blessed Limb of Justice,Hand of Justice,Leader I,High,Melee,Smite,Brute Force,Agility,Justice,Crime,Courthouse,Imposing,Prisons,Medium,High,Medium,High,Law,None,None,The executioners of Xeryos.
Iridescent Bastion,Defenders of the Bastion,Leader J,High,Defense,Reflection,Armor,Magic,Light,Dark,Fortress,Shining,Walls,Low,High,Small,High,Defense,None,None,Heavily armored guardians of critical choke points.
The Unfurled,The Unfurled Banner,Leader K,Extreme,Cavalry,Charge,Mobility,Siege,Glory,Defeat,Plains,Vast,Stables,High,Extreme,Large,Extreme,Expansion,None,None,The vanguard cavalry force.
Placeholder 12,Placeholder Faction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Awaiting character assignment.
